"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
MISSISSIPPI,45 to 64,734,723,611,83.2,84.4,562,76.5,77.7
MISSISSIPPI,65+,486,485,408,84.0,84.2,365,75.0,75.2
MISSOURI,Total,"4,637","4,475","3,388",73.1,75.7,"2,990",64.5,66.8
MISSOURI,18 to 24,587,563,382,65.0,67.7,313,53.3,55.5
MISSOURI,25 to 34,716,697,474,66.2,68.1,418,58.3,60.0
MISSOURI,35 to 44,743,682,465,62.7,68.3,368,49.5,53.9
MISSOURI,45 to 64,"1,596","1,542","1,222",76.6,79.3,"1,124",70.5,72.9
MISSOURI,65+,995,992,844,84.9,85.1,768,77.2,77.4
MONTANA,Total,836,827,641,76.6,77.5,607,72.6,73.5
MONTANA,18 to 24,107,104,69,65.0,66.6,60,56.2,57.6
MONTANA,25 to 34,128,126,89,69.4,70.3,83,65.2,66.1
MONTANA,35 to 44,128,127,105,82.4,82.7,97,75.6,75.9
MONTANA,45 to 64,253,251,201,79.3,79.9,193,76.2,76.9
MONTANA,65+,221,218,177,80.0,81.1,175,78.9,80.0
NEBRASKA,Total,"1,435","1,369",971,67.7,70.9,892,62.2,65.2
NEBRASKA,18 to 24,123,117,59,47.5,50.1,49,40.1,42.3
NEBRASKA,25 to 34,301,281,190,63.0,67.6,168,55.7,59.8
NEBRASKA,35 to 44,246,217,147,59.6,67.6,138,55.9,63.3
NEBRASKA,45 to 64,465,457,338,72.7,74.0,311,66.9,68.2
NEBRASKA,65+,299,297,238,79.5,80.0,226,75.5,76.0
NEVADA,Total,"2,402","2,198","1,455",60.6,66.2,"1,351",56.3,61.5
NEVADA,18 to 24,284,262,110,38.7,41.9,96,33.9,36.7
NEVADA,25 to 34,463,415,275,59.4,66.2,236,51.1,57.0
NEVADA,35 to 44,352,310,193,54.8,62.2,176,50.0,56.7
NEVADA,45 to 64,804,734,505,62.8,68.8,481,59.8,65.5
NEVADA,65+,500,477,373,74.5,78.1,363,72.4,76.0
NEW HAMPSHIRE,Total,"1,101","1,077",843,76.6,78.3,797,72.4,74.0
NEW HAMPSHIRE,18 to 24,110,108,74,67.7,69.1,67,61.1,62.3
NEW HAMPSHIRE,25 to 34,176,166,123,69.6,73.8,111,63.0,66.7
NEW HAMPSHIRE,35 to 44,167,163,126,75.8,77.3,118,70.9,72.4
NEW HAMPSHIRE,45 to 64,383,375,289,75.4,77.0,278,72.7,74.2
NEW HAMPSHIRE,65+,265,264,231,87.1,87.3,223,84.0,84.2
NEW JERSEY,Total,"6,801","5,921","5,008",73.6,84.6,"4,638",68.2,78.3
NEW JERSEY,18 to 24,783,706,613,78.3,86.9,532,67.9,75.3
NEW JERSEY,25 to 34,"1,125",885,708,62.9,79.9,619,55.0,69.9
NEW JERSEY,35 to 44,"1,032",813,678,65.7,83.4,624,60.5,76.8
NEW JERSEY,45 to 64,"2,408","2,134","1,807",75.1,84.7,"1,720",71.4,80.6
NEW JERSEY,65+,"1,453","1,383","1,202",82.7,86.9,"1,143",78.6,82.6
NEW MEXICO,Total,"1,610","1,498","1,028",63.9,68.6,938,58.3,62.6
NEW MEXICO,18 to 24,184,177,88,48.0,49.9,76,41.3,42.9
NEW MEXICO,25 to 34,284,269,175,61.7,65.2,143,50.3,53.1
NEW MEXICO,35 to 44,254,231,144,56.6,62.2,132,52.2,57.3
NEW MEXICO,45 to 64,504,455,329,65.4,72.4,312,62.0,68.7
NEW MEXICO,65+,384,366,291,75.8,79.5,274,71.4,74.9
NEW YORK,Total,"15,105","13,298","9,370",62.0,70.5,"8,609",57.0,64.7
NEW YORK,18 to 24,"1,613","1,461",816,50.6,55.9,698,43.3,47.8
NEW YORK,25 to 34,"2,568","2,171","1,463",57.0,67.4,"1,371",53.4,63.2
NEW YORK,35 to 44,"2,677","2,191","1,563",58.4,71.3,"1,457",54.4,66.5
NEW YORK,45 to 64,"4,737","4,197","3,085",65.1,73.5,"2,856",60.3,68.0
NEW YORK,65+,"3,511","3,279","2,442",69.6,74.5,"2,226",63.4,67.9
NORTH CAROLINA,Total,"8,113","7,391","5,161",63.6,69.8,"4,780",58.9,64.7
NORTH CAROLINA,18 to 24,872,820,465,53.3,56.7,404,46.4,49.3
NORTH CAROLINA,25 to 34,"1,412","1,259",809,57.3,64.2,706,50.0,56.0
NORTH CAROLINA,35 to 44,"1,315","1,068",705,53.6,66.0,637,48.4,59.6
NORTH CAROLINA,45 to 64,"2,524","2,303","1,699",67.3,73.8,"1,638",64.9,71.1
NORTH CAROLINA,65+,"1,992","1,941","1,483",74.5,76.4,"1,396",70.1,71.9
NORTH DAKOTA,Total,571,556,429,75.2,77.3,373,65.3,67.1
NORTH DAKOTA,18 to 24,68,64,42,B,B,30,B,B
NORTH DAKOTA,25 to 34,120,114,82,68.2,71.7,69,56.9,59.9
NORTH DAKOTA,35 to 44,96,93,74,76.4,79.0,63,65.7,67.9
NORTH DAKOTA,45 to 64,175,173,143,81.4,82.3,129,73.7,74.6
NORTH DAKOTA,65+,111,111,89,80.6,80.9,82,73.9,74.2
OHIO,Total,"8,951","8,740","6,733",75.2,77.0,"6,128",68.5,70.1
OHIO,18 to 24,"1,072","1,049",635,59.2,60.6,556,51.8,53.0
OHIO,25 to 34,"1,551","1,465","1,077",69.5,73.5,898,57.9,61.3
OHIO,35 to 44,"1,307","1,245",958,73.3,77.0,839,64.2,67.4
OHIO,45 to 64,"2,978","2,952","2,348",78.8,79.5,"2,186",73.4,74.1
OHIO,65+,"2,042","2,030","1,715",84.0,84.5,"1,650",80.8,81.3
OKLAHOMA,Total,"2,942","2,800","1,884",64.0,67.3,"1,631",55.5,58.3
OKLAHOMA,18 to 24,343,333,150,43.7,44.9,102,29.7,30.5
OKLAHOMA,25 to 34,481,431,260,54.1,60.4,212,44.1,49.2
OKLAHOMA,35 to 44,550,501,314,57.1,62.6,258,47.0,51.5
OKLAHOMA,45 to 64,950,917,677,71.2,73.8,624,65.7,68.1
OKLAHOMA,65+,618,618,484,78.3,78.3,435,70.3,70.3
OREGON,Total,"3,369","3,242","2,590",76.9,79.9,"2,402",71.3,74.1
OREGON,18 to 24,388,373,253,65.2,68.0,209,53.8,56.1
OREGON,25 to 34,576,550,439,76.1,79.7,381,66.1,69.2
OREGON,35 to 44,573,539,464,80.9,86.0,418,72.9,77.5
OREGON,45 to 64,"1,030",984,785,76.3,79.8,761,73.9,77.4
OREGON,65+,801,796,649,81.1,81.5,633,79.0,79.5
PENNSYLVANIA,Total,"9,902","9,621","7,337",74.1,76.3,"6,756",68.2,70.2
PENNSYLVANIA,18 to 24,"1,049","1,017",601,57.3,59.1,519,49.4,51.0
PENNSYLVANIA,25 to 34,"1,789","1,747","1,354",75.7,77.5,"1,207",67.4,69.0
PENNSYLVANIA,35 to 44,"1,360","1,281",948,69.7,74.0,866,63.6,67.6
PENNSYLVANIA,45 to 64,"3,212","3,122","2,491",77.6,79.8,"2,315",72.1,74.1
PENNSYLVANIA,65+,"2,492","2,453","1,943",78.0,79.2,"1,850",74.2,75.4
RHODE ISLAND,Total,840,776,575,68.5,74.1,515,61.3,66.3
RHODE ISLAND,18 to 24,101,96,59,58.1,61.1,50,49.0,51.6
RHODE ISLAND,25 to 34,143,135,96,66.8,70.9,80,56.1,59.5
RHODE ISLAND,35 to 44,130,111,79,60.6,71.1,71,54.5,63.9
RHODE ISLAND,45 to 64,291,268,207,71.4,77.4,187,64.5,69.9
RHODE ISLAND,65+,174,166,135,77.3,81.0,126,72.6,76.1
SOUTH CAROLINA,Total,"4,010","3,878","2,713",67.7,70.0,"2,459",61.3,63.4
SOUTH CAROLINA,18 to 24,438,421,269,61.4,63.9,225,51.4,53.4
SOUTH CAROLINA,25 to 34,697,673,390,56.0,58.0,329,47.2,49.0
SOUTH CAROLINA,35 to 44,577,543,375,65.1,69.1,326,56.6,60.1
SOUTH CAROLINA,45 to 64,"1,277","1,227",892,69.9,72.8,844,66.1,68.8
SOUTH CAROLINA,65+,"1,022","1,015",786,76.9,77.5,735,71.9,72.4
SOUTH DAKOTA,Total,659,649,437,66.3,67.4,380,57.7,58.5
SOUTH DAKOTA,18 to 24,79,77,40,50.5,52.0,34,42.7,43.9
SOUTH DAKOTA,25 to 34,120,117,67,56.2,57.4,53,44.3,45.2
SOUTH DAKOTA,35 to 44,99,95,59,59.8,62.4,50,50.7,52.9
SOUTH DAKOTA,45 to 64,210,208,155,73.7,74.2,138,65.6,66.0
